Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Contaminant	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Razor Peptides	Abundances (Normalized): F1: Sample	Abundances (Normalized): F2: Sample	Abundances (Normalized): F3: Sample	Abundances (Normalized): F4: Sample	Abundances (Normalized): F5: Sample	Abundances (Normalized): F6: Sample	Abundances (Normalized): F7: Sample	Abundances (Normalized): F8: Sample	Abundances (Normalized): F9: Sample	Abundances (Normalized): F10: Sample	Abundances (Normalized): F11: Sample	Abundances (Normalized): F12: Sample	Found in Sample: [S1] F1: Sample	Found in Sample: [S2] F2: Sample	Found in Sample: [S3] F3: Sample	Found in Sample: [S4] F4: Sample	Found in Sample: [S5] F5: Sample	Found in Sample: [S6] F6: Sample	Found in Sample: [S7] F7: Sample	Found in Sample: [S8] F8: Sample	Found in Sample: [S9] F9: Sample	Found in Sample: [S10] F10: Sample	Found in Sample: [S11] F11: Sample	Found in Sample: [S12] F12: Sample	# Protein Groups	Modifications
FALSE	High	Master Protein	O75448	Mediator of RNA polymerase II transcription subunit 24 OS=Homo sapiens OX=9606 GN=MED24 PE=1 SV=1	0	FALSE	54.669	16	10	91	10	989	110.2	6.95	145.02	10	0	3386931.103	3082374.049	2842381.885	4724881.929	3120156.593	2889205.017	3287473.83	3090078.047	3206048.108	2876111.243	2986008.942	2061969.754	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	O75419	Cell division control protein 45 homolog OS=Homo sapiens OX=9606 GN=CDC45 PE=1 SV=1	0	FALSE	17.293	8	4	68	4	566	65.5	5.53	61.3	4	0	2439253.934	2893261.871	2842801.701	1490601.93	1161656.076	1516374.47	2377101.207	2335631.855	2359401.006	1962462.231	2250274.926	2036792.989	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q9H939	Proline-serine-threonine phosphatase-interacting protein 2 OS=Homo sapiens OX=9606 GN=PSTPIP2 PE=1 SV=4	0	FALSE	19.327	13	3	34	3	334	38.8	8.48	68.06	3	0	1786233.264	1248465.214	2843407.599	2529931.826	298700.6645	321527.4999	496660.9498	2065503.969	895621.2726	1583038.055	1530290.312	2566478.982	High	High	High	High	High	Peak Found	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q8WUA4	General transcription factor 3C polypeptide 2 OS=Homo sapiens OX=9606 GN=GTF3C2 PE=1 SV=2	0	FALSE	48.907	12	7	73	7	911	100.6	7.31	135.89	7	0	3090951.638	3151465.727	2848186.108	2421495.195	2072639.892	1815952.949	2630660.895	2523492.072	3046404.485	3422596.507	3401917.362	3608323.282	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P04066	Tissue alpha-L-fucosidase OS=Homo sapiens OX=9606 GN=FUCA1 PE=1 SV=4	0	FALSE	28.705	20	7	106	7	466	53.7	6.84	105.71	7	0	3049122.598	2735770.225	2848811.789	1761083.201	1332052.196	1401705.303	2024321.75	1963611.729	1882789.915	3994468.83	3304515.584	3530032.117	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	Medium	Master Protein	P50151	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10 OS=Homo sapiens OX=9606 GN=GNG10 PE=1 SV=1	0.047	FALSE	2.008	10	1	4	1	68	7.2	7.85	3.31	1	0	1965036.823	2638562.778	2850474.3	2131682.576	2502335.631	1987313.264	2639558.883	1808249.836	1640628.34	1588897.491	1898449.285	1634613.379	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	High	High	High	1	
FALSE	High	Master Protein	P49848	Transcription initiation factor TFIID subunit 6 OS=Homo sapiens OX=9606 GN=TAF6 PE=1 SV=1	0	FALSE	33.615	15	8	62	8	677	72.6	8.6	77.06	8	0	4033025.503	3193089.562	2853027.884	2408892.591	2028558.189	2373066.703	1795385.457	2570591.234	2511849.985	3208099.587	2709510.634	3219847.109	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q8NBN7	Retinol dehydrogenase 13 OS=Homo sapiens OX=9606 GN=RDH13 PE=1 SV=2	0	FALSE	17.039	17	5	51	5	331	35.9	8.1	59.45	5	0	3838769.988	3957579.724	2853457.726	2947077.307	1319500.488	1713654.135	2442677.639	2056566.531	2961357.061	2795341.281	2804745.412	2403655.961	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q13164	Mitogen-activated protein kinase 7 OS=Homo sapiens OX=9606 GN=MAPK7 PE=1 SV=2	0	FALSE	11.317	5	4	33	4	816	88.3	5.88	56.76	4	0	3494883.406	1471068.846	2855668.98	2386040.735	2344010.006	1431191.116	2405252.626	2890714.031	2340144.143	2847917.971	2205916.184	2757689.385	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q8N5C6	S1 RNA-binding domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SRBD1 PE=1 SV=2	0	FALSE	18.536	6	6	12	6	995	111.7	8.72	7.28	6	0	2490993.171	2870258.844	2858664.269	1321172.967	1937303.458	793431.1534	1221685.979	1042084.766	2860897.715	2659969.312	2338861.733	1656824.104	High	Peak Found	High	High	High	Peak Found	High	Peak Found	High	High	High	High	1	
FALSE	High	Master Protein	Q96BZ8	Leukocyte receptor cluster member 1 OS=Homo sapiens OX=9606 GN=LENG1 PE=1 SV=1	0	FALSE	25.756	19	3	14	3	264	30.5	9.69	25.39	3	0	2538075.39	1056632.686	2861602.279	1403996.193	1587488.326	1525519.288	2152486.63	1746786.031	1401106.598	1378258.796	985598.3791	1626551.403	High	High	High	High	High	High	High	Peak Found	High	High	Peak Found	High	1	
FALSE	High	Master Protein	Q8IWC1	MAP7 domain-containing protein 3 OS=Homo sapiens OX=9606 GN=MAP7D3 PE=1 SV=2	0	FALSE	24.593	8	6	63	6	876	98.4	9.32	98.78	6	0	3554002.182	2782624.186	2862691.809	2437961.312	2708064.083	2377563.525	3353502.739	3656533.906	3654684.748	3497368.098	4092783.405	3905779.898	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P62341	Thioredoxin reductase-like selenoprotein T OS=Homo sapiens OX=9606 GN=SELENOT PE=1 SV=2	0	FALSE	36.896	34	5	69	5	195	22.3	8.6	177.18	5	0	2891575.938	2858620.569	2865613.609	3510166.481	3762915.395	3706971.646	3847714.778	6545534.938	6360011.658	3495654.465	6253800.949	5845276.293	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q7L2J0	7SK snRNA methylphosphate capping enzyme OS=Homo sapiens OX=9606 GN=MEPCE PE=1 SV=1	0	FALSE	27.515	9	4	37	4	689	74.3	9.57	100.74	4	0	2748856.527	2658724.233	2866567.943	2856547.161	2247565.041	2454147.298	2136829	2332925.219	2603636.763	2339489.781	2280195.974	2624837.633	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q86T03	Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase OS=Homo sapiens OX=9606 GN=PIP4P1 PE=1 SV=1	0	FALSE	24.45	19	4	30	4	277	29.5	8.91	68.56	4	0	861777.5216	1493070.736	2869235.745	2005907.69	2144804.52	1562322.701	2790631.845	1473635	1403365.093	2606164.15	3166442.458	3239082.56	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q4ZIN3	Membralin OS=Homo sapiens OX=9606 GN=TMEM259 PE=1 SV=1	0	FALSE	21.666	9	4	40	4	620	67.8	5.3	147.98	4	0	2439935.617	2974696.493	2870415.362	2285504.399	2263622.767	2343491.555	2590855.984	2150601.313	2095310.895	2649010.267	2751458.024	2736230.577	High	High	High	High	High	High	High	High	High	High	High	High	1	Met-loss+Acetyl [N-Term]
FALSE	High	Master Protein	Q12981	Vesicle transport protein SEC20 OS=Homo sapiens OX=9606 GN=BNIP1 PE=1 SV=3	0	FALSE	14.961	29	6	8	6	228	26.1	8.95	4.28	6	0	2915815.849	2314636.436	2874285.042	2840988.622	2193565.523	2245577.086	2931326.201	3580938.813	3371993.86	2572239.566	2826658.783	2684820.07	High	Peak Found	High	Peak Found	Peak Found	Peak Found	High	Peak Found	High	Peak Found	Peak Found	Peak Found	1	
FALSE	High	Master Protein	P51159	Ras-related protein Rab-27A OS=Homo sapiens OX=9606 GN=RAB27A PE=1 SV=3	0	FALSE	11.107	19	4	37	4	221	24.9	5.22	13.52	4	0	2464600.422	2892752.694	2875510.398	2284423.394	2691814.873	2407800.906	1766093.384	2622380.984	1844332.289	2427817.814	1453020.323	1491616.059	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	O14524	Nuclear envelope integral membrane protein 1 OS=Homo sapiens OX=9606 GN=NEMP1 PE=1 SV=2	0	FALSE	10.213	7	4	38	4	444	50.6	6.93	31.96	4	0	2600010.933	2872473.091	2878082.676	2446484.299	1877194.981	2227865.636	2050492.58	2138212.805	1928735.413	490884.5472	241130.743	314183.467	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q7L4I2	Arginine/serine-rich coiled-coil protein 2 OS=Homo sapiens OX=9606 GN=RSRC2 PE=1 SV=1	0	FALSE	14.159	12	4	24	4	434	50.5	11.33	20.33	4	0	2968677.967	2425797.327	2881992.25	1916476.972	2417066.051	1888926.559	2619009.114	2256441.313	1797598.241	1885762.93	2312616.021	1106013.87	High	High	High	High	High	High	High	High	High	High	High	Peak Found	1	
FALSE	High	Master Protein	Q9H0Q0	CYFIP-related Rac1 interactor A OS=Homo sapiens OX=9606 GN=CYRIA PE=2 SV=1	0	FALSE	58.77	37	8	152	7	323	37.3	6.01	219.73	8	0	2384164.13	2756590.032	2883524.179	2338156.428	2323322.645	2438456.779	3006217.984	2851326.359	2862184.152	8662095.703	8410821.118	9623071.107	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	O43353	Receptor-interacting serine/threonine-protein kinase 2 OS=Homo sapiens OX=9606 GN=RIPK2 PE=1 SV=2	0	FALSE	35.337	21	7	56	6	540	61.2	7.09	65.84	7	0	2397930.723	1531241.551	2887683.236	2923222.752	2529843.484	2640898.958	2124702.376	1318669.594	1967818.991	1091722.783	1157852.758	1432157.147	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	O43314	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 OS=Homo sapiens OX=9606 GN=PPIP5K2 PE=1 SV=3	0	FALSE	27.156	7	8	104	8	1243	140.3	8.22	127.64	8	0	3085817.096	3453915.612	2888174.962	2926164.869	2656504.462	2720471.982	3219882.623	3617496.109	3336602.254	2013064.462	2271114.389	2203351.317	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P82664	28S ribosomal protein S10, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS10 PE=1 SV=2	0	FALSE	10.003	24	4	34	4	201	23	8	3.35	4	0	2744495.022	3023634.077	2893210.177	2765453.076	2354987.627	2502020.621	3466192	3249441.625	2815832.706	3111115.147	3063442.93	2893431.769	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q05932	Folylpolyglutamate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=FPGS PE=1 SV=3	0	FALSE	26.894	12	4	57	4	587	64.6	7.94	115.19	4	0	3169968.438	2628019.197	2894090.127	1975206.301	1924802.886	2269911.103	1473043.808	1629270.195	1267705.722	1449607.484	1720876.455	2203840.909	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q2M389	WASH complex subunit 4 OS=Homo sapiens OX=9606 GN=WASHC4 PE=1 SV=2	0	FALSE	46.065	12	11	78	11	1173	136.3	7.44	86.9	11	0	2955907.829	2383750.782	2897251.503	4137586.507	3753398.583	3209590.734	3384109.117	3289247.484	3791808.035	2070067.388	2421938.739	2506193.539	High	High	High	High	High	High	High	High	High	High	High	High	1	Met-loss+Acetyl [N-Term]
FALSE	High	Master Protein	Q9Y5P8	Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta OS=Homo sapiens OX=9606 GN=PPP2R3B PE=1 SV=2	0	FALSE	6.736	4	3	28	1	575	65	5.14	0	3	0	2449369.066	2944584.594	2899952.604	2586377.011	2979010.754	3491057.21	3469164.037	4389917.5	4255808.242	2116094.335	1771833.464	2055529.275	Peak Found	Peak Found	High	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	1	
FALSE	High	Master Protein	P27986	Phosphatidylinositol 3-kinase regulatory subunit alpha OS=Homo sapiens OX=9606 GN=PIK3R1 PE=1 SV=2	0	FALSE	25.681	10	7	40	6	724	83.5	6.16	35.74	7	1	2480532.918	3189183.986	2904213.083	1955017.342	4315108.134	3719045.406	3492128.598	1490304.875	1356873.791	2149452.943	2258856.255	2021058.08	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q15742	NGFI-A-binding protein 2 OS=Homo sapiens OX=9606 GN=NAB2 PE=1 SV=1	0	FALSE	22.786	14	7	47	6	525	56.6	6.96	43.59	7	0	2764892.472	4046503.396	2904288.679	2693194.019	1686773.615	1588237.528	2492588.248	2778141.547	1930625.912	1259873.953	1374533.444	1250518.641	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q4L180	Filamin A-interacting protein 1-like OS=Homo sapiens OX=9606 GN=FILIP1L PE=1 SV=2	0	FALSE	18.979	6	6	19	6	1135	130.3	6.57	17.05	6	0	3263265.368	2743986.036	2905368.91	2264409.964	2303592.223	1717611.865	3170069.185	2279786.422	2958182.109	1384881.882	1495102.792	1463191.302	High	High	High	High	High	High	High	High	High	Peak Found	Peak Found	Peak Found	1	
FALSE	High	Master Protein	Q9NNW7	Thioredoxin reductase 2, mitochondrial OS=Homo sapiens OX=9606 GN=TXNRD2 PE=1 SV=3	0	FALSE	28.013	16	5	30	5	524	56.5	7.5	46.46	5	0	2531758.467	2433749.529	2909579.524	2894428.618	3410722	3447706.97	4102359.983	2993484.375	3599023.058	3594069.93	1228557.434	2370943.716	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q9NZI7	Upstream-binding protein 1 OS=Homo sapiens OX=9606 GN=UBP1 PE=1 SV=1	0	FALSE	35.33	14	5	68	4	540	60.5	6.35	192.43	5	1	2801781.788	2909399.683	2913283.157	4420701.48	4451008.127	4396594.242	2801497.309	2827568.938	2549185.393	2491568.478	2977592.437	2955612.093	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P54760	Ephrin type-B receptor 4 OS=Homo sapiens OX=9606 GN=EPHB4 PE=1 SV=2	0	FALSE	24.603	8	6	62	4	987	108.2	6.9	70.85	6	0	2639696.494	2177211.767	2917835.365	1780504.759	2019241.72	2246059.382	1592326.5	1142946.039	1488822.434	3722338.41	3419574.358	3067181.257	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q8WWH5	Probable tRNA pseudouridine synthase 1 OS=Homo sapiens OX=9606 GN=TRUB1 PE=1 SV=1	0	FALSE	18.164	18	5	30	5	349	37.2	8.25	37.7	5	0	3335801.434	3353055.585	2919869.607	2615759.633	2692144.88	3203336.767	2684585.859	3603260.828	3397747.815	3837532.19	3381369.893	3275317.577	High	High	Peak Found	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P10588	Nuclear receptor subfamily 2 group F member 6 OS=Homo sapiens OX=9606 GN=NR2F6 PE=1 SV=2	0	FALSE	19.014	15	5	27	4	404	43	7.78	23.68	5	1	3237391.995	3098803.886	2921122.061	2152081.387	1806449.729	703501.342	2050288.008	1656289.344	1636982.355	2573388.701	2492044.534	2447752.624	High	High	High	High	High	High	High	High	Peak Found	High	High	High	1	
FALSE	High	Master Protein	Q9H6I2	Transcription factor SOX-17 OS=Homo sapiens OX=9606 GN=SOX17 PE=1 SV=1	0	FALSE	22.419	12	3	19	3	414	44.1	6.48	53.57	3	0	3332259.208	3376468.828	2924306.296	1129863.029	1339135.641	1031167.721	1587223.51	1616083.484	1458222.321	1636100.86	1185098.173	1258150.139	High	High	High	High	High	High	Peak Found	High	High	High	High	High	1	
FALSE	High	Master Protein	Q9H446	RWD domain-containing protein 1 OS=Homo sapiens OX=9606 GN=RWDD1 PE=1 SV=1	0	FALSE	11.213	14	3	25	3	243	27.9	4.2	16.57	3	0	2887178.291	3182028.81	2926297.595	2843025.859	2707785.926	2919413.419	2896606.148	2846530.906	2938758.276	2946393.203	3147297.18	2693557.439	High	High	High	High	High	High	High	High	Peak Found	High	High	High	1	
FALSE	High	Master Protein	Q9H267	Vacuolar protein sorting-associated protein 33B OS=Homo sapiens OX=9606 GN=VPS33B PE=1 SV=2	0	FALSE	47.518	20	10	88	10	617	70.5	6.71	166.33	10	0	4671914.611	2618353.926	2927025.278	4420057.871	3658988.26	3372948.011	4055631.591	3859630.676	4263703.379	5489740.624	5479875.525	5086166.889	High	High	High	High	High	High	High	High	High	High	High	High	1	Met-loss+Acetyl [N-Term]
FALSE	High	Master Protein	P51784	Ubiquitin carboxyl-terminal hydrolase 11 OS=Homo sapiens OX=9606 GN=USP11 PE=1 SV=3	0	FALSE	24.534	8	6	30	6	963	109.7	5.45	50.43	6	0	3736629.071	3374290.966	2929419.789	2184520.805	2451041.149	2553564.154	2054887.73	1868273.578	1486023.982	2252862.149	2857710.788	1666779.473	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q9NXH9	tRNA (guanine(26)-N(2))-dimethyltransferase OS=Homo sapiens OX=9606 GN=TRMT1 PE=1 SV=1	0	FALSE	43.017	17	9	43	9	659	72.2	7.64	84.36	9	0	2992882.626	2617601.639	2932676.58	3904533.244	2378238.601	3608760.308	2446481.075	1115837.469	1746582.066	3351340.535	3777418.774	3653772.644	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	Medium	Master Protein	P43626	Killer cell immunoglobulin-like receptor 2DL1 OS=Homo sapiens OX=9606 GN=KIR2DL1 PE=1 SV=1	0.046	FALSE	2.018	2	1	2	1	348	38.5	6.83	0	1	0	2547480.422	2221797.217	2933698.37	1616006.615		1702122.646	2368966.944	2310061.5	2406058.141	1965485.348	1900899.406	647239.1704	Peak Found	High	High	Peak Found	Not Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	Peak Found	1	
FALSE	High	Master Protein	Q9H7X7	Intraflagellar transport protein 22 homolog OS=Homo sapiens OX=9606 GN=IFT22 PE=1 SV=1	0	FALSE	20.009	31	4	26	4	185	20.8	5.15	25.47	4	0	2577978.831	2666373.26	2934931.3	2108474.661	2116465.336	2583838.599	2497128.426	2428828.281	2579271.779	2719287.128	2265304.969	1691185.075	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	O14646	Chromodomain-helicase-DNA-binding protein 1 OS=Homo sapiens OX=9606 GN=CHD1 PE=1 SV=2	0	FALSE	43.573	9	11	85	7	1710	196.6	7.14	99.44	11	3	2381798.969	2558991.941	2942190.527	2721555.402	2538401.145	2574623.595	2890294.597	2863324.094	2270592.004	1217812.06	1809760.45	1363011.278	High	High	High	High	High	High	High	High	High	High	Peak Found	High	1	
FALSE	High	Master Protein	Q5T8P6	RNA-binding protein 26 OS=Homo sapiens OX=9606 GN=RBM26 PE=1 SV=3	0	FALSE	22.291	7	7	36	7	1007	113.5	9.16	32.15	7	0	1775751.687	2357689.885	2944280.512	4116457.317	3174878.904	3395122.134	2837013.363	2486024.109	4329020.375	3431873.146	3784093.314	3010983.244	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P53350	Serine/threonine-protein kinase PLK1 OS=Homo sapiens OX=9606 GN=PLK1 PE=1 SV=1	0	FALSE	13.524	7	5	42	5	603	68.2	8.91	17.16	5	0	1987120.875	3117608.573	2948325.324	2509539.318	2423504.823	2374974.547	3046530.16	2590759.938	2748677.61	1464028.458	2026522.559	1892018.828	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q96JB2	Conserved oligomeric Golgi complex subunit 3 OS=Homo sapiens OX=9606 GN=COG3 PE=1 SV=3	0	FALSE	35.657	11	7	41	7	828	94	5.57	85.66	7	0	2724383.652	2687063.036	2948965.731	2990147.657	2875630.628	1842939.117	2310257.2	2399420.623	2254997.136	2373279.329	2079552.329	1201265.402	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q01167	Forkhead box protein K2 OS=Homo sapiens OX=9606 GN=FOXK2 PE=1 SV=3	0	FALSE	14.775	9	5	19	5	660	69	9.54	6.55	5	0	3155932.251	2904911.642	2958464.001	2120335.283	1759767.914	1901595.472	3162673.238	2834134.844	2703141.679	1506819.435	2114093.531	1807994.253	High	High	High	Peak Found	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q14145	Kelch-like ECH-associated protein 1 OS=Homo sapiens OX=9606 GN=KEAP1 PE=1 SV=2	0	FALSE	21.721	11	5	57	5	624	69.6	6.44	36.22	5	0	3203332.421	2717642.126	2959187.713	2245278.221	1956375.263	2079043.662	1543383.881	1694789.146	1742611.832	2043093.839	2013455.835	2499594.684	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q8ND24	RING finger protein 214 OS=Homo sapiens OX=9606 GN=RNF214 PE=1 SV=2	0	FALSE	26.694	17	8	30	8	703	77.6	6.95	37.25	8	0	3380723.379	2985167.734	2960342.812	3959455.318	3154906.154	4704611.882	3066990.235	3312876.078	2596086.927	3025827.86	3739213.184	2441291.457	High	High	High	High	High	High	Peak Found	High	High	Peak Found	High	High	1	Met-loss+Acetyl [N-Term]
FALSE	High	Master Protein	Q96B23	Uncharacterized protein C18orf25 OS=Homo sapiens OX=9606 GN=C18orf25 PE=1 SV=3	0	FALSE	20.533	10	3	32	3	404	43.4	4.88	99.46	3	0	3455694.156	2969017.13	2963099.915	2909818.351	2515030.225	2792431.073	3842988.986	3265803.031	3083106.153	3386231.858	3552185.636	3289353.847	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q06136	3-ketodihydrosphingosine reductase OS=Homo sapiens OX=9606 GN=KDSR PE=1 SV=1	0	FALSE	18.654	11	3	48	3	332	36.2	7.12	93.68	3	0	3587135.034	2875672.151	2963528.997	2064411.299	2192860.592	2315762.684	2667847.167	2572133.594	2667134.054	2840221.825	2711871.697	2885812.5	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	Medium	Master Protein	Q9Y663	Heparan sulfate glucosamine 3-O-sulfotransferase 3A1 OS=Homo sapiens OX=9606 GN=HS3ST3A1 PE=1 SV=1	0.021	FALSE	2.344	2	1	15	1	406	44.9	9.5	27.32	1	0	2962018.477	2853103.677	2964138.62	2204869.557	1853946.94	2664478.116	2073455.351	2136516	2308744.41	2648779.716	1883626.701	1424955.817	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q7Z333	Probable helicase senataxin OS=Homo sapiens OX=9606 GN=SETX PE=1 SV=4	0	FALSE	40.289	5	9	69	9	2677	302.7	7.17	78.86	9	0	3092021.384	3052406.243	2966096.513	2370088.72	1795255.74	1609655.172	2346133.262	2071220.797	2142314.813	1938093.602	1800756.674	1871678.621	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	O60911	Cathepsin L2 OS=Homo sapiens OX=9606 GN=CTSV PE=1 SV=2	0	FALSE	44.704	34	6	65	6	334	37.3	8.76	133.47	6	0	2326669.142	2534281.228	2969245.26	4229691.305	4430853.022	5451530.228	6589218.005	5714231.797	5220820.99	4294142.125	4336138.536	4520564.227	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q9BVI4	Nucleolar complex protein 4 homolog OS=Homo sapiens OX=9606 GN=NOC4L PE=1 SV=1	0	FALSE	18.854	10	6	76	6	516	58.4	7.49	58.42	6	0	3515505.757	2925119.88	2972927.912	3273766.95	4134998.076	2463326.961	2844175.462	2857671.656	2463840.937	1221091.008	1554157.917	1281999.281	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P23434	Glycine cleavage system H protein, mitochondrial OS=Homo sapiens OX=9606 GN=GCSH PE=1 SV=2	0	FALSE	9.334	17	2	35	2	173	18.9	4.88	42.67	2	0	2462243.648	2717927.299	2977598.413	2576389.797	2654898.005	3134743.647	2993173.011	2816080.375	2854274.036	2847894.012	2655533.42	2503116.219	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	ENSEMBL:ENSBTAP00000023402	(Bos taurus) 46 kDa protein	0	TRUE	20.274	17	6	32	6	411	46	6.02	33.92	6	0	2232945.205	3039778.012	2977697.842	2599917.244	3480216.596	3497339.457	4853305.405	4248850.125	2472971.755	2104461.705	1195522.016	1662906.748	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q8NBM8	Prenylcysteine oxidase-like OS=Homo sapiens OX=9606 GN=PCYOX1L PE=1 SV=2	0	FALSE	16.797	10	5	49	5	494	54.6	7.31	37.15	5	0	3181366.156	3128911.653	2979941.077	1182910.982	950844.1383	930507.73	1813412.026	1879846.188	1668908.527	1786506.677	1850299.468	1516511.932	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q8N1B4	Vacuolar protein sorting-associated protein 52 homolog OS=Homo sapiens OX=9606 GN=VPS52 PE=1 SV=1	0	FALSE	23.644	9	6	93	6	723	82.2	5.99	51.79	6	0	3056129.707	2639922.981	2980758.631	3340370.279	3093712.512	2983143.197	2527383.529	2045247.719	2178883.608	2562338.22	2489790.297	2669439.947	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P08648	Integrin alpha-5 OS=Homo sapiens OX=9606 GN=ITGA5 PE=1 SV=2	0	FALSE	20.307	5	5	70	5	1049	114.5	5.77	81.64	5	0	2017812.746	1987496.308	2984226.963	3905044.483	3281989.715	2493010.711	1083550.66	1792321.188	1738911.217	1859373.807	1911826.313	1951814.929	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	P41212	Transcription factor ETV6 OS=Homo sapiens OX=9606 GN=ETV6 PE=1 SV=1	0.001	FALSE	5.996	4	2	14	2	452	53	7.43	1.68	2	0	2774988.284	3177383.788	2988133.255	2601205.503	1607277.972	2786509.559	2953456.91	2243711.406	2648169.262	2705536.356	1955693.508	1361382.569	High	High	High	High	High	High	High	High	High	High	Peak Found	High	1	
FALSE	High	Master Protein	Q16831	Uridine phosphorylase 1 OS=Homo sapiens OX=9606 GN=UPP1 PE=1 SV=1	0	FALSE	24.585	23	7	64	7	310	33.9	7.88	60.43	7	0	2987561.221	2967589.022	2988168.984	4371461.286	3488256.404	4246948.112	2269764.657	2658830.305	2340490.73	5624879.764	5399076.744	5498441.385	High	High	High	High	High	High	High	High	High	High	High	High	1	
FALSE	High	Master Protein	Q96HP0	Dedicator of cytokinesis protein 6 OS=Homo sapiens OX=9606 GN=DOCK6 PE=1 SV=3	0	FALSE	42.099	6	11	56	11	2047	229.4	6.74	42.74	11	0	1858549.725	2416441.124	2991085.326	4048805.514	2405173.068	2503815.105	1188326.178	2354209.594	2353295.023	3567121.263	5689613.425	5084411.187	High	High	High	High	High	High	High	High	High	High	High	High	1	
